W,h,n,classe_log2,N_min,N_max,ciclos,media_especies,desvio,ciclos_usados
4.0,0.99,25,7,155.40459238361356,360.3361411083538,6,87.0,13.505554412907307,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,25,8,360.3361411083538,835.5102805993423,6,133.33333333333334,10.764137989949155,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,25,9,835.5102805993423,1937.2950679884161,6,109.83333333333333,5.671566509057851,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,25,10,1937.2950679884161,4492.000000000001,6,7.5,1.8708286933869707,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,50,1,1.0,2.318696864625919,3,51.333333333333336,7.571877794400365,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,2,2.318696864625919,5.3763551500260665,3,28.666666666666668,1.5275252316519465,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,3,5.3763551500260665,12.466137829480852,3,36.666666666666664,8.082903768654761,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,4,12.466137829480852,28.90519469921181,3,46.333333333333336,4.618802153517007,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,5,28.90519469921181,67.02238432046413,3,53.333333333333336,9.073771725877465,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,6,67.02238432046413,155.40459238361356,3,61.0,7.937253933193772,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,7,155.40459238361356,360.3361411083538,3,79.66666666666667,4.725815626252608,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,8,360.3361411083538,835.5102805993423,3,118.66666666666667,10.692676621563628,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,9,835.5102805993423,1937.2950679884161,3,98.33333333333333,2.081665999466133,ciclo_001;ciclo_003;ciclo_004
4.0,0.99,50,10,1937.2950679884161,4492.000000000001,3,15.0,1.7320508075688772,ciclo_001;ciclo_003;ciclo_004
